,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
dist_grand_central,0.35865413689478304,-0.16318009353357615,0.08942596773643545,-0.015028757981175207,0.03391296325439282,0.25116519061046555,-0.018290017943492,0.019340016763878618,-0.15591500828044724,-0.2969457031757206,0.029873904460621496,0.1561550825130778,-0.04217594974447932
days_since_review,-0.10897049146127698,-0.2048244090763739,-0.19503929385538105,0.44408418289388696,0.3107003640160717,0.11460784451354622,0.028356382412733597,0.023357367310514424,0.07540912958444236,0.02525456476136362,0.10532007197732203,0.13904740552451503,0.4231465873398396
minimum_nights_log,-0.13116521234248144,-0.11243657408237798,0.0626232866458836,-0.3749714683518244,0.4916811954238916,-0.07748334120285788,-0.07899650557579257,-0.030675240018775987,-0.12631644876488568,0.0243427726684615,-0.02108507451610171,-0.09591407555013233,-0.2058920641453073
number_of_reviews_log,0.181198739750881,0.3700667521476192,-0.1704275307854005,0.12938463381710374,0.23194590631567927,0.004708123874467052,-0.009448029987988516,0.02331790592585382,-0.0030783526516610605,-0.014196991018515558,0.15874922600237568,-0.08879046685967482,-0.3298028951098919
days_since_review_log,-0.15770203784497913,-0.2957107003951465,-0.14193709257922885,0.3681222905848546,0.2716845902493032,0.08655499899094954,0.009417354376911234,0.056612157303173774,0.06776264332839407,0.015477521469291518,0.17112492593718936,0.05228003400131446,0.10015003859690473
reviews_per_month_log,0.21149107637662645,0.4159227443401378,-0.059553193388596215,0.0014102998174606455,0.029993595807396328,-0.017573965058589623,0.0028212616294913126,-0.03016007232019287,-0.09696192808871319,0.052475611735675276,-0.22908887072417983,0.0816196875355446,0.23484236345966653
neighbourhood_group_Brooklyn,0.20386589831376495,-0.1849772212178709,-0.3964211268500934,-0.09204637015070345,-0.04024606040942963,-0.4320077589938257,0.027656304947018265,0.11823585666699758,-0.006747722650532821,-0.01500176134335202,-0.007740226845743706,-0.22394764253066318,0.10820077540498123
neighbourhood_group_Manhattan,-0.32802976926332483,0.19686733219219932,0.0811622165568727,0.010758958680872538,-0.023865063252808866,0.25897309954568754,-0.04537773206302755,0.06075787255108271,-0.10494538888644771,-0.28200491254797594,-0.00330470426199158,0.3175963813982222,-0.09731302559354349
neighbourhood_group_Queens,0.15021054600870654,-0.012306678474783894,0.4545254757077237,0.14689870126563953,0.1092448950604692,0.03715428584433482,0.0783245369427735,-0.3431909001452573,0.27207978643147945,0.5232848638667987,0.004378605960027905,0.04286243128387611,-0.09931425210782778
neighbourhood_group_Staten Island,0.07410528417841336,-0.03442025855855723,-0.15493282629883623,-0.16097130243722196,-0.06414103052494434,0.7056792629661606,-0.16647189337361093,-0.006325628364848709,-0.03786486905247681,0.33102653126851134,0.01263059546249795,-0.37450899897409584,0.09682543505445823
room_type_Private room,0.09425519745603082,-0.04499343953419698,0.10766232980082745,0.1601383330689167,-0.11996513905098118,-0.091402900644932,-0.5918618658549286,0.6166614495891645,0.03857512771622795,0.2983712167450321,-0.09769011582601654,0.24831999883975997,-0.15277696614872627
room_type_Shared room,0.009729299173411917,-0.006338918433166566,0.050790988350900027,-0.040921081455222774,-0.017033982094480295,0.10919221527078976,0.759357469806575,0.5478393361477765,-0.1340162775968772,0.2554011374133244,-0.01755980650067725,0.09963180414711616,-0.08984758434362083
